Employee ID,age group,Age,Gender,year band,Years at Company,job role,salary band,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition,,,KPIS
52685,35-44,36,Male,10+  years,13,Healthcare,high,8029,Excellent,High,Average,1,Yes,83,Master’s Degree,Married,1,Mid,Large,22,No,No,No,Poor,Medium,Stayed,,,14900
30585,35-44,35,Male,6-10 years,7,Education,medium,4563,Good,High,Average,1,Yes,55,Associate Degree,Single,4,Entry,Medium,27,No,No,No,Good,High,Left,,,total employees
54656,55+,50,Male,6-10 years,7,Education,medium,5583,Fair,High,Average,3,Yes,14,Associate Degree,Divorced,2,Senior,Medium,76,No,No,Yes,Good,Low,Stayed,,,employees left 
33442,55+,58,Male,10+  years,44,Media,medium,5525,Fair,Very High,High,0,Yes,43,Master’s Degree,Single,4,Entry,Medium,96,No,No,No,Poor,Low,Left,,,
15667,35-44,39,Male,10+  years,24,Education,medium,4604,Good,High,Average,0,Yes,47,Master’s Degree,Married,6,Mid,Large,45,Yes,No,No,Good,High,Stayed,,,
3496,55+,45,Female,10+  years,30,Healthcare,high,8104,Fair,High,Average,0,No,38,Associate Degree,Divorced,0,Senior,Large,75,No,No,No,Good,Low,Stayed,,,
46775,18-24,22,Female,3-5 years,5,Healthcare,high,8700,Good,High,Average,0,No,2,High School,Married,0,Mid,Small,48,No,No,No,Poor,High,Stayed,,,
72645,25-34,34,Female,10+  years,15,Technology,high,11025,Fair,Medium,High,1,No,9,Master’s Degree,Single,4,Entry,Large,16,No,No,No,Good,Low,Left,,,
4941,55+,48,Female,10+  years,40,Technology,high,11452,Good,Medium,Below Average,0,No,65,Associate Degree,Divorced,1,Mid,Large,52,No,No,No,Good,Medium,Stayed,,,
65181,55+,55,Female,10+  years,16,Media,medium,5939,Poor,High,Average,0,No,31,Associate Degree,Divorced,1,Entry,Small,46,No,No,No,Good,High,Stayed,,,
49522,25-34,32,Female,10+  years,12,Healthcare,high,8144,Good,High,Below Average,0,Yes,28,High School,Married,1,Mid,Medium,57,No,No,No,Fair,Medium,Stayed,,,
8195,25-34,26,Female,10+  years,15,Finance,medium,4758,Good,High,High,2,Yes,35,Bachelor’s Degree,Married,1,Senior,Medium,91,Yes,No,No,Good,Medium,Stayed,,,
52948,55+,45,Female,3-5 years,3,Media,medium,6370,Fair,Medium,High,3,No,30,Bachelor’s Degree,Married,3,Senior,Medium,60,No,No,No,Good,High,Stayed,,,
35067,35-44,42,Male,3-5 years,3,Healthcare,high,8344,Good,Very High,Average,0,No,88,Master’s Degree,Married,0,Mid,Small,14,No,No,No,Good,High,Stayed,,,
53650,35-44,35,Female,3-5 years,5,Finance,high,10449,Good,Very High,Average,1,No,51,Bachelor’s Degree,Single,0,Entry,Small,69,No,No,No,Good,Low,Left,,,
49803,55+,52,Female,10+  years,44,Technology,high,12514,Fair,Very High,Average,1,Yes,38,High School,Married,4,Mid,Small,117,No,No,No,Good,Low,Stayed,,,
2213,35-44,42,Male,10+  years,14,Education,medium,5076,Fair,High,High,0,Yes,53,Bachelor’s Degree,Single,5,Entry,Medium,68,No,No,No,Good,High,Stayed,,,
48091,35-44,37,Male,10+  years,28,Technology,high,8287,Fair,Medium,High,0,No,10,Bachelor’s Degree,Married,5,Entry,Large,100,No,No,No,Good,Low,Left,,,
49462,55+,56,Male,10+  years,24,Healthcare,high,8963,Excellent,High,Average,1,No,43,Bachelor’s Degree,Married,0,Mid,Medium,81,No,No,No,Good,High,Stayed,,,
16073,18-24,21,Female,0-2 years,1,Healthcare,high,7869,Fair,High,High,0,No,23,Master’s Degree,Married,0,Senior,Large,64,No,No,Yes,Good,Low,Stayed,,,
54967,55+,47,Female,10+  years,11,Media,medium,6664,Fair,High,Average,1,No,77,Associate Degree,Single,4,Mid,Small,41,No,No,No,Good,High,Left,,,
35183,55+,47,Female,10+  years,35,Healthcare,high,9319,Excellent,Very High,Below Average,2,Yes,89,High School,Single,3,Mid,Medium,44,No,No,Yes,Excellent,Medium,Left,,,
455,55+,50,Male,10+  years,15,Healthcare,high,8209,Good,High,Average,0,No,7,Master’s Degree,Single,0,Senior,Medium,91,No,No,No,Excellent,Very High,Left,,,
36359,35-44,40,Male,10+  years,22,Healthcare,medium,5593,Good,High,Average,0,No,74,Associate Degree,Single,0,Entry,Medium,55,No,No,No,Good,Low,Stayed,,,
36048,55+,50,Female,10+  years,19,Finance,high,8345,Fair,High,Below Average,2,No,55,Associate Degree,Married,3,Entry,Medium,24,No,No,No,Fair,High,Left,,,
54081,18-24,23,Male,3-5 years,4,Education,medium,4532,Excellent,High,Average,1,Yes,87,Master’s Degree,Single,1,Mid,Medium,60,No,No,No,Good,High,Left,,,
17189,35-44,43,Male,10+  years,24,Education,medium,3961,Poor,High,Low,0,No,64,Bachelor’s Degree,Married,0,Mid,Large,69,No,No,No,Fair,Very High,Left,,,
31516,25-34,25,Male,0-2 years,2,Healthcare,high,7107,Excellent,Medium,Average,0,Yes,87,Associate Degree,Divorced,0,Mid,Small,18,No,No,No,Good,High,Stayed,,,
3586,35-44,37,Male,10+  years,20,Education,medium,3124,Excellent,Very High,High,0,Yes,79,Associate Degree,Married,4,Entry,Medium,51,Yes,No,No,Poor,Low,Left,,,
